scenario_name,tracking_error_target,frontier_mode,optimization_method,solver_success,ex_post_ic,alpha_over_ic_dispersion,realized_return_over_sigma_dispersion,transfer_coefficient,risk_weighted_transfer_coefficient,active_return,active_risk,realized_tracking_error,information_ratio,theoretical_information_ratio,trial_id,run_key
unconstrained,,,cvxportfolio_policy_execute,True,0.11124420613557044,0.029007802541926874,0.8486333605588018,,,-5.434740411546022e-21,8.232760666357302e-19,8.232760666357302e-19,,,0,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.11124420613557044,0.029007802541926874,0.8486333605588018,,,-5.386979616085641e-21,8.230978386908749e-19,8.230978386908749e-19,,,0,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.11124420613557044,0.029007802541926874,0.8486333605588018,0.7967041389656258,0.7602181630500566,3.800723937150296e-08,7.206708591070283e-07,7.206708591070283e-07,0.052738693248395134,0.2674333980964915,0,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.11124420613557044,0.029007802541926874,0.8486333605588018,0.7244178954968157,0.691242350628296,-6.342531493776804e-08,6.413888824126215e-07,6.413888824126215e-07,-0.09888745607686562,0.24316873724123253,0,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.11124420613557044,0.029007802541926874,0.8486333605588018,-0.863336411923576,-0.8237989348903655,-7.478317104231771e-08,1.5344025316967668e-07,1.5344025316967668e-07,-0.4873764836637834,-0.28980016423455857,0,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.31603592403362796,0.014250094851080563,0.7833884359348928,,,-1.128969552686811e-20,2.2675125107853683e-20,2.2675125107853683e-20,,,1,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.31603592403362796,0.014250094851080563,0.7833884359348928,,,-1.1265085112095924e-20,2.2624526264678925e-20,2.2624526264678925e-20,,,1,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.31603592403362796,0.014250094851080563,0.7833884359348928,,,-1.1265085112095924e-20,2.2624526264678925e-20,2.2624526264678925e-20,,,1,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.31603592403362796,0.014250094851080563,0.7833884359348928,-0.4101397154793199,-0.3397016561692378,-2.6839034270266365e-07,1.9775506922850234e-06,1.9775506922850234e-06,-0.13571856526850573,-0.3394955735717478,1,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.31603592403362796,0.014250094851080563,0.7833884359348928,,,-1.129022418983094e-20,2.2667140089005003e-20,2.2667140089005003e-20,,,1,combined_constraints
