scenario_name,active_return_mean,active_return_std,active_risk_mean,active_risk_std,alpha_over_ic_dispersion_mean,alpha_over_ic_dispersion_std,ex_post_ic_mean,ex_post_ic_std,information_ratio_mean,information_ratio_std,realized_return_over_sigma_dispersion_mean,realized_return_over_sigma_dispersion_std,realized_tracking_error_mean,realized_tracking_error_std,risk_weighted_transfer_coefficient_mean,risk_weighted_transfer_coefficient_std,theoretical_information_ratio_mean,theoretical_information_ratio_std,transfer_coefficient_mean,transfer_coefficient_std
combined_constraints,2.0224351959907252e-07,9.152222879084732e-07,2.488734664096629e-07,4.097666012266953e-07,0.07590197895946338,0.2013565719886898,-0.02933849232479191,0.2824554736084754,0.1189796764690365,0.9694419448628538,0.867441774197409,0.19382332355940785,2.488734664096629e-07,4.097666012266953e-07,-0.22379860211283012,0.5041156760188553,0.04301178194938782,0.4095857594805194,-0.23244661307114042,0.513813622274317
long_only,7.643858007082511e-08,3.369475697906593e-07,1.0328060677756837e-07,4.411381840527947e-07,0.07590197895946338,0.2013565719886898,-0.02933849232479191,0.2824554736084754,0.4755803271291346,0.4067583634032293,0.867441774197409,0.19382332355940785,1.0328060677756837e-07,4.411381840527947e-07,-0.22745667820141133,0.5152963727214072,0.4282586028301747,0.6379860802133015,-0.22902461909807129,0.5184441641053519
long_only_max_weight,3.306872383436586e-08,6.534989478885789e-07,2.1424762544400069e-07,4.2589537145887836e-07,0.07590197895946338,0.2013565719886898,-0.02933849232479191,0.2824554736084754,-0.13893421386851293,1.1252070963573246,0.867441774197409,0.19382332355940785,2.1424762544400069e-07,4.2589537145887836e-07,0.12130676485970764,0.7070053849205287,0.12886805822511008,0.7844087441591657,0.1228095466248574,0.7206965418065018
turnover_limited,-1.0363161845480079e-07,3.6442459184633955e-07,4.474425533131478e-07,4.5530130652132335e-07,0.07590197895946338,0.2013565719886898,-0.02933849232479191,0.2824554736084754,-0.25102018964262074,0.8341310233450626,0.867441774197409,0.19382332355940785,4.474425533131478e-07,4.5530130652132335e-07,0.0771956291448473,0.5157703974507246,-0.07061677522436055,0.3869830516922499,0.07381602434318399,0.5302621525671304
unconstrained,-1.5121695728712021e-19,7.5830349654579685e-19,4.80394370636341e-19,3.8878178775476993e-19,0.07590197895946338,0.2013565719886898,-0.02933849232479191,0.2824554736084754,,,0.867441774197409,0.19382332355940785,4.80394370636341e-19,3.8878178775476993e-19,,,,,,
